Title,Description,ISBN,Publish Year,Cover Image URL,Borrow Link
The Razor's Edge,"Larry Darrell is a young American in search of the absolute. The progress of this spiritual odyssey involves him with some of Maugham's most brillant characters - his fiancee Isabel, whose choice between love and wealth have lifelong repercussions, and Elliot Templeton, her uncle, a classic expatriate American snob. The most ambitious of Maugham's novels, this is also one in which Maugham himself plays a considerable part as he wanders in and out of the story, to observe his characters struggling with their fates.",9780307785084,2011-01-26,http://books.google.com/books/content?id=4BfMRvhyZfUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://openlibrary.org/works/OL505944W
Lilith – The First Eve,"In a fascinating excursion through the history of her myth, Siegmund Hurwitz presents and interprets the ancient dark-winged goddess Lilith, also known as ’the first Eve.’ The author’s extraordinarily meticulous study of the original sources brings to light a striking figure long lost from our awareness, yet highly relevant to a psychological understanding of today’s evolving masculine and feminine identities. Case material from his analytical practice imbeds Lilith in the everyday problems of contemporary life. That an unbridled life-urge which refuses to be assimilated lies behind depression… seems to me to be a new and important discovery. By combining the experience of a contemporary man with this historical material, Siegmund Hurwitz sheds new light on both. -- From the Foreword by Marie-Louise von Franz",9783856309008,2020,http://books.google.com/books/content?id=mORzCQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL15437W
"Annotated Checklist of Plants on the Coastal Beaches, Islands and Barrier Islands of Louisiana",No Description Available,,1981,http://books.google.com/books/content?id=eFNRgnrHd_wC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL2779754W
Nineteen Eighty-four,"Reilly (English, U. of Glasgow) considers such matters as the parallel between Nineteen-eighty four and Gulliver's travels; similarities and contrasts between Orwell and Milton; Western man's basic myth, Jack the Giant Killer. Annotation copyrighted by Book News, Inc., Portland, OR",,1989,http://books.google.com/books/content?id=dI7BAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://openlibrary.org/works/OL1168083W
Of Human Bondage,"Of Human Bondage is a novel by W. Somerset Maugham. It is generally agreed to be his masterpiece and to be strongly autobiographical in nature. The Modern Library ranked Of Human Bondage No. 66 on its list of the 100 best English-language novels of the 20th century. The book begins with the death of Helen Carey, the mother of nine-year-old Philip Carey. Philip's father Henry had died a few months before, and the orphan Philip, born with a club foot, is sent to live with his Aunt Louisa and Uncle William Carey. Early chapters relate Philip's experience at the vicarage. Louisa tries to be a mother to Philip, but his uncle takes a cold disposition towards him. Philip's uncle has a vast collection of books, and Philip enjoys reading to find ways to escape his mundane existence. Less than a year later, Philip is sent to a boarding school. His uncle and aunt wish for him to eventually attend Oxford. Philip's disability makes it difficult for him to fit in. Philip is informed that he could have earned a scholarship for Oxford, which both his uncle and school headmaster see as a wise course, but Philip insists on going to Germany. In Germany, Philip lives at a boarding house with other foreigners. Philip enjoys his stay in Germany. Philip's guardians decide to take matters into their own hands and they convince him to move to take up an apprenticeship... William Somerset Maugham (1874 - 1965) was a British playwright, novelist and short story writer. He was among the most popular writers of his era and reputedly the highest paid author during the 1930s.",,2022-11-13,http://books.google.com/books/content?id=DEmVEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL505781W
The Colour of Magic,"On a world supported on the back of a giant turtle (sex unknown), a gleeful, explosive, wickedly eccentric expedition sets out. There's an avaricious but inept wizard, a naive tourist whose luggage moves on hundreds of dear little legs, dragons who only exist if you believe in them, and of course THE EDGE of the planet...",9781473205321,2014,http://books.google.com/books/content?id=0OLrngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://openlibrary.org/works/OL453657W
It Can't Happen Here,"It Can't Happen Here is a semi-satirical political novel by Sinclair Lewis published in 1935. It features newspaperman Doremus Jessup struggling against the fascist regime of President Berzelius ""Buzz"" Windrip, who resembles Gerald B. Winrod, the Kansas evangelist whose far-right views earned him the nickname ""The Jayhawk Nazi."" It serves as a warning that political movements akin to Nazism can come to power in countries such as the United States when people blindly support their leaders. Notice: This Book is published by Historical Books Limited (www.publicdomain.org.uk) as a Public Domain Book, if you have any inquiries, requests or need any help you can just send an email to publications@publicdomain.org.uk This book is found as a public domain and free book based on various online catalogs, if you think there are any problems regard copyright issues please contact us immediately via DMCA@publicdomain.org.uk",9781517317492,2015-09-15,http://books.google.com/books/content?id=yCwsjgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://openlibrary.org/works/OL51145W
Pollyanna,"When orphaned Pollyanna Whittier comes to live with her stern maiden aunt, she not only manages to spread her perpetual cheerfulness and optimism among the miserable people of the town, she also transforms the life of her lonely relative. Pollyanna was made into a Broadway play and a popular motion picture.",9780866119948,1995,http://books.google.com/books/content?id=NPqZXlNbbzMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://openlibrary.org/works/OL2775807W
The Color Purple,"Based on the novel: ""The Color Purple"" by Alice Walker.",,1985,http://books.google.com/books/content?id=nzDYAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,https://openlibrary.org/works/OL273644W
The Lost Symbol Illustrated edition,"WHAT WAS LOST WILL BE FOUND... Harvard professor Robert Langdon is summoned to deliver an evening lecture in the Capitol Building, Washington DC. But within minutes of his arrival, a gruesome and disturbing discovery is made at the epicentre of the Rotunda. Langdon recognizes it as an ancient invitation, beckoning its recipient towards a long-lost world of hidden wisdom. And when Langdon's revered mentor is brutally kidnapped, he realizes his only chance to save his old friend is to accept this sinister summons... All that was familiar is transformed into a shadowy, clandestine world in which Masonic secrets and never-before-seen revelations seem to be leading him to a single impossible and inconceivable truth. As Langdon will discover, there is nothing more extraordinary or shocking than the secret which hides in plain sight... A brilliantly composed tapestry of veiled histories, arcane icons and enigmatic codes, The Lost Symbol is an intelligent, lightning-paced thriller that offers surprises at every turn. This exclusive edition features over 250 photographs and illustrations, allowing the reader to explore the rich historical research from which Dan Brown drew his inspiration, and uniquely complementing the reading experience.",9781409057970,2010-11-11,http://books.google.com/books/content?id=tO9eO29sOJQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,https://openlibrary.org/works/OL14873315W
